Letra;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72;x73;x74;x75;x76;x77;x78;x79;x80;x81;x82;x83;x84;x85;x86;x87;x88;x89;x90;x91;x92;x93;x94;x95;x96;x97;x98;x99;x100
O1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
O2;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
O3;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
O4;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
P1;69;95;96;96;96;96;97;98;99;98;24;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;9;9;10;10;10;11;10;10;10;11;9;10;11;11;10;11;11;9;11;10;11;12;12;11;11;12;11;13;12;14;14;14;15;18;23;30;28;28;26;24;22;19;16;12
P2;64;74;75;75;75;75;76;77;78;77;16;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;9;9;10;10;10;11;10;10;10;11;9;10;11;11;10;11;11;9;11;10;11;12;12;11;11;12;11;13;12;14;14;14;15;18;23;30;28;28;26;24;22;19;16;12
P3;98;99;100;100;100;100;100;100;100;100;99;97;4;6;6;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;7;7;7;7;7;7;8;8;7;7;7;7;8;8;7;7;8;8;7;7;8;8;8;9;8;8;9;8;9;9;9;9
P4;2;4;4;4;5;5;5;8;10;10;10;10;10;10;10;10;10;10;10;10;10;74;99;99;99;99;99;99;98;11;11;11;12;12;12;12;11;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;9;9;10;10;11;10;10;11;10;10;11;10;11;11;11;11;11;12;12;11;12;11;12;14;14;15;17;23;30;28;26;24;21;18;14
Q1;8;19;27;33;39;44;33;28;25;23;21;20;19;16;15;15;13;12;13;11;12;11;12;10;12;10;10;10;11;11;11;10;11;10;10;10;9;10;10;10;10;10;10;10;10;9;9;10;9;10;10;9;10;10;10;11;10;10;10;11;10;10;8;9;10;11;10;26;31;30;30;32;19;16;18;19;19;17;18;17;18;18;19;17;18;18;19;19;20;20;21;23;23;27;26;39;36;32;26;20
Q2;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Q3;14;19;21;25;26;28;29;32;36;37;39;41;42;43;43;46;47;49;50;51;52;54;55;55;47;44;42;42;42;39;37;36;35;34;33;34;31;31;30;29;29;29;29;28;28;27;27;26;26;25;25;24;24;24;24;24;24;23;23;23;23;23;22;22;22;22;22;21;21;21;22;21;21;20;21;21;20;20;20;20;19;20;20;21;20;19;20;20;20;19;19;19;20;19;17;15;12;9;5;3
Q4;5;5;5;5;5;5;5;5;6;6;6;5;5;5;5;6;6;7;7;10;10;16;20;20;22;21;22;22;22;22;22;23;25;25;18;15;17;17;18;19;21;20;20;20;18;19;20;21;19;19;19;19;20;20;21;19;19;18;19;19;18;19;19;20;20;20;19;20;20;20;22;20;21;20;21;22;22;24;23;25;25;26;25;26;29;29;28;30;43;41;39;38;36;34;32;29;26;23;20;16
R1;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
R2;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
R3;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
R4;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
S1;10;17;20;23;26;28;30;30;20;18;17;16;19;21;21;20;22;21;20;19;20;21;20;19;19;21;21;20;20;19;21;20;20;19;21;21;21;20;19;19;20;20;20;20;20;20;20;20;20;19;18;19;19;19;19;19;18;18;18;18;18;18;19;19;19;18;18;19;19;20;21;22;22;21;20;18;15;12;14;15;13;14;14;15;14;16;16;17;17;18;20;22;26;38;36;34;31;28;24;18
S2;3;8;10;11;12;12;12;12;11;13;13;14;14;14;15;15;15;16;17;16;17;18;17;17;19;18;18;19;20;19;20;11;11;11;12;11;11;11;11;12;11;11;11;11;12;11;11;11;11;11;12;17;21;23;23;23;23;23;22;22;22;22;22;22;22;22;22;23;22;22;23;22;24;24;22;23;24;24;25;24;26;27;28;27;28;29;30;31;32;34;39;45;67;64;61;56;53;47;40;30
S3;4;10;14;16;16;16;16;17;16;17;16;17;16;16;16;17;16;17;16;17;16;17;16;16;16;16;16;16;16;16;16;16;16;16;16;16;15;16;16;16;16;16;16;15;16;16;16;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;16;17;16;17;16;17;17;17;18;19;19;20;21;22;22;22;24;25;25;27;28;31;39;71;68;65;61;58;53;47;41
S4;15;25;33;37;40;43;47;51;51;55;55;57;59;59;60;60;60;60;60;60;60;60;60;60;58;60;60;60;60;60;60;60;60;59;59;60;60;58;60;60;58;60;60;58;58;60;58;58;58;60;60;59;59;60;58;58;60;58;58;60;60;58;58;60;60;58;60;60;60;58;58;60;59;59;60;58;58;58;58;58;58;58;58;60;58;58;60;60;58;58;60;60;59;59;59;59;57;58;58;58
T1;2;5;6;7;7;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;6;6;6;51;95;96;96;96;47;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;7;6;6;6;6;6;6;6;6;6;4
T2;25;25;25;59;59;59;61;61;67;67;67;75;75;82;82;82;85;85;89;89;89;97;97;97;98;98;98;98;98;99;99;99;99;99;99;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;78;78;78;44;44;40;40;40;34;34;25;25;25;18;18;15;15;15;12;12
T3;32;32;32;44;44;44;47;47;55;55;55;66;66;76;76;76;79;79;85;85;85;95;95;95;96;96;97;97;97;97;97;97;97;97;98;98;98;98;98;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;100;100;100;100;100;100;100;100;71;71;71;56;56;53;53;53;45;45;32;32;32;24;24;19;19;19;16;16
T4;32;32;32;47;47;47;50;50;58;58;58;68;68;77;77;77;81;81;85;85;85;96;96;96;97;97;98;98;98;98;98;98;98;98;99;99;99;99;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;71;71;71;54;54;51;51;51;43;43;31;31;31;23;23;19;19;19;16;16
U1;24;40;52;61;65;68;48;31;23;14;12;10;10;10;9;9;8;8;7;7;7;7;7;7;7;7;6;7;6;6;6;6;6;6;6;5;6;5;6;6;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;5;5;5;5;6;5;6;6;6;6;6;7;6;7;7;7;7;8;8;8;9;9;8;8;8;9;11;13;17;22;28;37;55;70;64;57;49;36
U2;1;4;8;12;16;20;23;24;23;21;20;19;18;18;16;16;15;15;14;15;14;13;13;12;12;12;11;11;11;11;10;11;10;11;11;10;11;11;10;10;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;10;10;11;10;11;11;11;11;11;11;12;12;13;13;13;14;14;15;15;15;17;18;18;20;21;22;23;23;24;25;27;28;29;31;32;36;33;29;26;20;16;9
U3;1;15;22;30;34;39;42;36;32;27;25;22;22;20;19;18;18;17;16;15;14;14;14;14;12;12;11;11;11;11;11;11;10;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;11;11;11;12;12;13;13;13;15;15;14;16;17;18;19;20;21;21;23;24;26;26;28;29;32;35;39;35;31;25;19;12
U4;1;7;12;18;22;27;30;35;39;42;44;43;41;40;39;39;38;37;36;35;34;32;32;32;31;31;31;31;30;30;30;30;29;28;29;29;29;30;29;29;28;29;29;29;29;28;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;30;28;30;30;30;31;31;31;32;32;33;33;34;36;37;37;38;38;40;41;42;43;44;47;44;40;36;32;28;23;18;10;5
V1;4;10;14;18;19;21;18;17;16;16;15;15;14;14;14;13;13;12;12;12;12;12;12;12;11;11;11;11;11;11;10;11;10;11;11;11;11;10;10;11;10;10;11;10;10;11;11;11;11;11;11;10;10;10;9;11;13;16;16;15;16;16;15;15;15;15;14;14;13;13;13;13;13;13;13;12;13;13;13;14;14;14;14;14;15;14;14;14;14;14;13;13;14;15;16;16;15;13;10;6
V2;0;3;5;7;10;12;14;17;18;20;21;21;21;20;20;21;21;20;21;20;20;20;20;20;19;21;20;20;20;20;19;19;19;20;19;20;19;20;19;19;20;19;20;20;21;20;20;20;20;20;19;20;19;20;19;19;19;18;20;23;27;28;30;31;29;28;30;28;29;29;29;29;29;29;28;28;27;27;26;26;24;25;26;25;24;24;24;25;24;23;23;21;19;17;15;13;10;9;6;3
V3;7;7;37;36;36;36;36;36;36;36;36;36;36;36;36;35;35;34;35;35;35;36;36;35;35;35;35;35;36;35;35;35;33;33;34;35;33;34;34;34;34;34;33;33;34;34;34;34;34;34;35;36;36;37;37;37;37;38;38;39;39;40;40;41;41;40;41;40;40;39;39;39;38;37;37;36;35;35;35;34;33;32;30;30;29;29;27;24;23;22;20;18;17;17;14;13;11;10;7;5
V4;2;4;5;6;7;11;12;13;15;18;19;20;21;23;26;28;29;30;34;34;36;37;38;42;44;44;46;47;50;51;54;54;54;54;54;55;55;55;55;56;54;53;53;54;53;52;53;52;53;52;53;53;50;51;51;51;50;49;48;48;50;52;55;58;62;67;70;72;74;75;77;78;81;81;81;81;79;76;70;68;63;61;58;54;52;49;44;41;38;36;33;29;26;22;19;15;13;10;7;5
W1;3;10;15;19;17;17;15;15;13;13;13;13;12;12;12;12;11;12;11;10;9;9;9;9;9;9;8;8;9;8;8;7;7;8;9;9;9;9;10;9;10;11;12;13;15;16;17;19;26;30;35;28;21;26;26;21;18;16;15;15;13;14;13;12;11;10;10;10;11;10;11;10;10;9;9;8;7;6;8;10;11;12;12;11;12;12;13;14;15;16;19;23;26;28;27;25;21;17;12;7
W2;1;1;5;9;12;12;16;20;23;23;28;33;39;39;44;55;58;58;62;65;70;70;72;75;81;81;83;88;90;93;93;93;95;96;96;96;97;97;97;98;99;96;96;93;89;86;86;83;77;77;77;80;83;87;89;89;93;94;94;94;97;96;96;96;95;93;91;91;86;82;76;76;75;72;65;65;62;55;51;47;47;42;40;37;37;32;29;27;27;24;21;17;17;14;12;10;10;6;4;1
W3;1;2;5;8;11;13;17;19;23;25;26;26;25;25;24;25;24;24;24;24;23;22;21;21;20;20;20;19;19;19;19;18;19;18;19;18;18;18;18;18;18;18;18;17;18;18;17;17;17;17;16;16;15;14;12;12;12;14;15;16;17;17;19;19;20;20;20;20;19;20;20;19;20;19;19;20;21;21;22;23;23;25;28;28;29;29;30;32;31;32;33;34;32;29;25;22;17;13;9;5
W4;1;2;4;7;8;9;12;13;15;17;18;19;21;21;22;21;21;22;21;21;21;21;21;21;21;21;22;21;22;22;22;21;21;21;21;20;19;19;19;20;19;18;18;17;18;17;17;15;15;14;14;13;13;14;16;17;19;21;21;22;22;23;24;24;24;24;24;24;24;24;24;24;25;24;24;25;25;25;25;25;26;27;27;27;28;28;30;31;31;32;34;34;32;27;25;21;17;14;10;4
X1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
X2;3;7;10;13;15;17;19;20;20;20;20;20;19;19;19;20;20;19;21;24;27;29;31;33;34;37;36;36;36;36;36;35;33;30;27;24;21;18;20;22;26;28;31;32;32;31;29;26;24;21;19;16;15;15;14;14;14;15;15;15;14;14;14;14;15;15;15;14;14;14;14;15;15;15;15;15;15;14;14;14;14;14;14;14;15;14;14;15;14;14;14;15;15;15;15;14;12;11;10;8
X3;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
X4;7;12;17;19;21;23;25;27;29;30;31;33;34;37;39;40;41;41;42;43;45;46;47;48;50;52;53;54;56;56;57;57;58;58;59;59;60;62;62;62;61;62;62;61;60;61;62;62;62;62;62;63;62;62;62;63;62;62;62;62;62;62;62;60;61;61;61;63;61;59;57;54;53;50;48;46;42;41;40;39;36;35;33;31;30;28;26;25;21;20;17;16;13;11;11;9;7;7;5;2
Y1;2;2;4;5;6;6;7;7;7;6;6;7;7;7;6;7;7;7;7;7;6;6;6;6;7;6;6;6;6;7;6;6;6;6;5;6;6;6;6;7;7;6;6;6;6;7;7;7;7;8;33;40;44;56;58;57;33;25;20;12;6;6;6;7;7;7;7;7;7;7;7;7;7;7;8;7;7;7;7;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;7;7;6;5;3
Y2;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;3;5;5;5;5;6;6;7;7;8;8;10;10;16;16;36;36;51;56;56;59;59;64;64;67;67;69;69;72;72;73;73;75;75;79;82;82;86;86;95;95;96;96;97;97;98;98;97;97;97;97;94;92;92;91;91;83;83;61;61;48;48;44;44;39;39;35;35;32;30;30;27;27;26;26;24;24;19;19;16;16;11;11;1
Y3;7;7;7;16;16;16;22;22;22;31;31;31;37;37;41;41;41;45;45;45;48;48;48;53;53;61;61;61;65;65;65;72;72;72;88;88;88;91;91;94;94;94;95;95;95;96;96;96;97;97;97;97;97;98;98;98;99;99;99;99;99;99;100;100;87;87;87;79;79;79;73;73;73;64;64;59;59;59;55;55;55;49;49;49;47;47;47;43;43;34;34;34;30;30;30;22;22;22;4;4
Y4;8;8;8;8;16;16;16;22;22;22;28;28;28;32;32;32;37;37;37;49;49;49;55;55;55;64;64;64;88;88;88;91;91;91;95;95;95;97;97;97;97;97;97;98;98;98;99;99;99;99;99;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;90;90;90;84;84;84;77;77;77;70;70;70;67;67;67;60;60;60;48;48;48;42;42;42;30;30;30;4;4;4
Z1;2;6;7;7;7;8;7;7;12;15;15;15;16;21;21;22;23;24;26;27;30;32;34;33;33;34;34;34;33;34;33;33;34;32;32;33;33;33;33;33;31;31;29;27;25;24;25;26;28;29;31;34;33;33;33;33;33;34;33;32;32;31;33;33;31;28;27;25;24;21;18;14;15;16;16;15;14;14;15;14;14;14;15;15;14;15;15;15;15;15;14;14;14;14;15;15;13;7;7;6
Z2;10;14;15;16;17;18;19;21;23;25;26;27;22;19;19;19;19;18;18;18;19;18;19;18;25;31;32;32;32;31;32;32;31;30;28;26;24;25;24;25;27;28;31;32;32;32;32;33;32;32;33;33;33;32;31;32;34;34;33;32;29;28;27;25;23;20;17;14;15;15;14;14;15;15;16;15;15;15;14;15;14;14;14;15;15;16;16;15;14;14;14;14;14;15;15;14;11;8;7;6
Z3;2;5;7;7;7;7;7;8;7;7;7;12;14;15;15;15;16;16;20;22;21;21;22;23;24;25;26;28;29;31;32;34;34;33;33;35;34;34;33;33;32;33;34;33;33;34;34;33;32;32;32;32;33;33;33;33;32;31;31;30;29;27;26;24;24;24;25;27;28;22;23;24;25;25;26;26;26;26;26;26;26;26;26;25;21;18;18;18;19;19;17;16;14;13;13;11;10;8;7;5
Z4;0;4;8;8;12;14;15;16;16;17;18;19;21;22;24;25;27;27;26;26;27;26;26;26;25;25;24;26;26;26;32;32;33;32;31;31;32;32;32;31;32;32;31;31;29;28;27;26;25;24;24;25;26;27;28;31;32;31;32;32;32;32;32;32;34;33;26;26;24;24;25;24;26;26;26;25;23;22;20;20;18;17;14;13;10;7;8;8;8;7;7;7;7;7;8;7;7;7;7;8
